species,Pioneering,Expansion, Stability,Unfilling ,Abandonment ,sum,Pioneering,Expansion, Stability,Unfilling ,Abandonment 
Pachliopta_aristolochiae_category_quantity,0.526613563,4.734585382,32.95061777,3.829165236,1.670609413,43.71159136,1.204745804,10.83141847,75.38187639,8.760068249,3.821891084
Pachliopta_hector_category_quantity,1.262965488,4.761226346,21.77617529,2.048187646,3.041633153,32.89018792,3.839946099,14.47612995,66.2087287,6.227351606,9.247843643
Pantoporia_hordonia_category_quantity,1.196055648,2.163553148,74.68080795,25.49560992,1.110467763,104.6464944,1.142948605,2.067487458,71.36484443,24.36355853,1.061160977
Papilio_bianor_category_quantity,0,2.585831461,15.79054016,2.297127311,4.990029546,25.66352848,0,10.07589998,61.52910802,8.950941072,19.44405092
Papilio_clytia_category_quantity,0,10.24883754,11.7509892,4.087297689,10.71493885,36.80206328,0,27.84854062,31.93024562,11.10616451,29.11504925
Papilio_demoleus_category_quantity,0.553248218,8.021170259,33.2947176,2.548775228,2.345753918,46.76366522,1.183072831,17.15256967,71.19783584,5.450332466,5.016189186
Papilio_helenus_category_quantity,0.314257953,1.867106481,55.80311657,12.35605994,0.066739171,70.40728012,0.446342981,2.651865656,79.2575945,17.54940671,0.094790156
Papilio_memnon_category_quantity,3.414304332,3.277240677,106.8879084,28.42559635,0.144322649,142.1493724,2.401913054,2.305490782,75.1940769,19.9969904,0.101528868
Papilio_nephelus_category_quantity,1.15437006,1.531630585,62.00691333,21.47062078,3.061736052,89.22527081,1.293770307,1.716588329,69.49478861,24.06338539,3.431467368
Papilio_paris_category_quantity,0.09267413,0.883698689,42.86490391,9.921935671,0.070030371,53.83324277,0.172150376,1.641548314,79.62534245,18.43087126,0.130087595
Papilio_polymnestor_category_quantity,0.530743361,10.58423845,44.60003668,12.25347659,13.2234187,81.19191378,0.653689926,13.0360746,54.93162386,15.09199133,16.28662029
Papilio_polytes_category_quantity,0.794285666,2.976895918,45.38689446,9.752217204,0.2383797,59.14867295,1.342863037,5.032903985,76.73358031,16.48763483,0.403017833
Papilio_protenor_category_quantity,0.088268316,5.272406155,18.3358414,7.157634805,0.910445324,31.764596,0.277882697,16.59837309,57.72414483,22.53337271,2.866226676
Papilio_xuthus_category_quantity,0,6.276444203,3.848039783,0.483662622,5.09711878,15.70526539,0,39.9639487,24.50159031,3.079620815,32.45484017
Parantica_aglea_category_quantity,1.075204232,9.016435517,57.87731669,37.28371289,2.79309053,108.0457599,0.995137832,8.345015602,53.56741141,34.50733554,2.585099622
Parantica_agleoides_category_quantity,0.565832235,5.782257021,16.08513371,0.135143113,6.781193466,29.34955955,1.927907075,19.70134173,54.80536662,0.460460447,23.10492413
Parantica_sita_category_quantity,0.001321817,4.210099169,13.52780747,5.9888101,2.977157308,26.70519586,0.004949662,15.76509377,50.65608782,22.42563631,11.14823244
Parathyma_nefte_category_quantity,0.543448031,3.72000594,51.26269723,28.40412142,0.546788877,84.4770615,0.643308398,4.403569293,60.68238682,33.62347236,0.647263135
Parathyma_perius_category_quantity,0.376034063,20.67110142,34.09605814,14.12128117,2.20161189,71.46608668,0.526171336,28.92435053,47.70942376,19.75941572,3.080638653
Parathyma_selenophora_category_quantity,1.427905282,8.084494868,50.28530973,26.4634561,0.405279672,86.66644565,1.647587219,9.328287098,58.02165919,30.53483491,0.467631583
